osm_id,lat,lon,category,subtype,name
node/10536273497,22.5315727,91.6999683,Industrial,works,ALHAJ MOSTAFA HAKIM CEMENT INDUSTRIES LIMITED
node/10536339930,22.548852,91.6951723,Industrial,works,Moulana Ispat Ltd.
node/10536380130,22.5405998,91.7019958,Industrial,works,KR FlexiPack Ltd.
node/10536537916,11.6786046,78.2101791,Industrial,works,Cotton Mills
node/10539985105,21.7861112,92.0802766,Industrial,works,Chiringa Food Warehouse
node/10542618526,26.4536694,80.2839615,Industrial,works,Mars auto PVT. LTD.
node/10554300459,6.8355997,80.2566558,Industrial,works,SAMAGI FOOD PRODUCTS
node/10559391248,6.8377116,80.2760643,Industrial,works,Dananjaya Woodworking Supply Store
node/10561931994,20.4038613,93.3204954,Industrial,works,KNL (သောက်ရေသန့်လုပ်ငန်း)
node/10565766107,10.5124541,76.2562781,Industrial,works,Kannanaikkal mill
node/10567105067,28.6085816,78.4145827,Industrial,works,Munipal Mint Oil Factory
node/10570995384,6.8393304,80.2791418,Industrial,works,Royal Ceramics Lanka Limited
node/10585906708,25.8577271,84.7821934,Industrial,works,A1 BRICKS UDYOG
node/10591495345,26.7301692,86.4030506,Industrial,works,Brick Factory
node/10594092417,28.8330245,78.8164151,Industrial,works,JK Exim
node/10595635791,26.8735034,90.481894,Industrial,works,Kuengacholing Incense Factory
node/10596420245,6.8370524,80.3062579,Industrial,works,Pussella Estate Rubber Factory
node/10603448368,16.4278549,74.2924787,Industrial,works,Sadasakhar Shugar Factory
node/10631032703,6.8214569,80.3037903,Industrial,works,Parakaduwa Tea Factory
node/10636870556,6.9073377,81.0016951,Industrial,works,Neluwa Tea Factory
node/10682139833,6.9780743,81.062247,Industrial,works,Gold Buds Tea Factory
node/10694511895,7.1909536,80.6469478,Mining,quarry,
node/10694535460,24.9665897,88.9879348,Industrial,works,CosCo Auto Brick Industries.
node/10696086917,32.482621,74.5511861,Industrial,works,Ahmed Pak Impex
node/10696152534,32.4736926,74.5008763,Industrial,works,Roxod International (PVT) LTD
node/10699380298,25.1211711,82.59053,Industrial,works,Mayank Industries
node/10701008799,25.0408413,89.0354405,Industrial,works,"break field, Industrial equipment supplier"
node/10701042452,25.0232038,89.0285561,Industrial,works,"Brick kilns,Brick manufacturer"
node/10701091079,24.9751162,89.0155196,Industrial,works,AMB Eco Brick
node/10701110628,24.968311,89.0149902,Industrial,works,Milon rice mill
node/10705151381,6.795903,80.9184913,Industrial,works,Uva Haputale Valley Tea Factory
node/10716107751,18.5959173,73.7256859,Industrial,works,Diehl Metal India
node/10716717343,10.5102568,76.258175,Industrial,machine_shop,Royal Aluminium fabrication
node/10720675003,15.7742845,74.4694834,Industrial,works,Viraaj Technocrats
node/10725756392,18.6013217,73.8257656,Industrial,works,Forbes Marshall Pvt. Ltd.
node/10729676330,24.9835929,88.7488631,Industrial,works,RRB BRICK FIELD
node/10734187596,24.909382,88.7559425,Industrial,works,DADA ATO RICE MIL HASIB AND HARUN
node/10734201835,24.9116954,88.752662,Industrial,works,এ.বি. মিনি আটো রাইস মিল (A.B. Mini Auto Rice Mill)
node/10734294031,24.9093235,88.7525957,Industrial,works,"এ.বি. ব্রিকস, মহাদেবপুর"
node/10734332185,24.9050961,88.7630924,Industrial,works,"NAZIB POULTRY AND FEED MILL, dakkin, Hossainpur, Mohadevpur, Naogaon"
node/10734336748,24.9068847,88.7617343,Industrial,works,"Sheuli Auto Rice mill, Mohadevpur, Naogaon"
node/10734374426,24.9059539,88.7664939,Industrial,works,রাবেয়া অটো
node/10734374610,24.9063164,88.7669221,Industrial,works,"Track Tire Repairing, Rabeya Auto Rice Mill, Mohadevpur-Akhera, Mohadevpur, Naogaon"
node/10736350745,24.8655208,88.8441513,Industrial,works,মেসার্স সাফি চাউল কল
node/10736391648,24.8658709,88.8439574,Industrial,works,মেসার্স সাফি রাইস মিলস
node/10736395624,24.8633582,88.8411113,Industrial,works,"M/S Mudhobon Rice mill , Mohadevpur, Naogaon"
node/10736447840,24.8643086,88.8529119,Industrial,works,"M/s Haji & Sons Rice Mill, Mohadevpur, Naogaon"
node/10736448411,24.8650694,88.8496058,Industrial,works,"মেসার্স এ, এম, চাউল কল"
node/10736460499,24.86094,88.8614871,Industrial,works,মেসার্স প্রামাণিক চাউল কল
node/10736722428,24.8560241,88.8722941,Industrial,works,Apon Chinta Automatic Rice Mill
node/10744960643,24.8538088,88.8889721,Industrial,works,21sha Rice / Ekushe Rice / Jan Mohammad Molla Automatic Rice Mill
